"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Озёрная";"Солнцевская линия";"2024";"I квартал";"1530839";"1505303";"2664615951";
"Говорово";"Солнцевская линия";"2024";"I квартал";"1005637";"972061";"2664615952";
"Солнцево";"Солнцевская линия";"2024";"I квартал";"1743201";"1686465";"2664615953";
"Боровское шоссе";"Солнцевская линия";"2024";"I квартал";"487035";"457815";"2664615954";
"Новопеределкино";"Солнцевская линия";"2024";"I квартал";"1443101";"1373344";"2664615955";
"Рассказовка";"Солнцевская линия";"2024";"I квартал";"1592276";"1525422";"2664615956";
"Планерная";"Таганско-Краснопресненская линия";"2024";"I квартал";"3387465";"3274725";"2664615957";
"Сходненская";"Таганско-Краснопресненская линия";"2024";"I квартал";"4183310";"4095031";"2664615958";
"Тушинская";"Таганско-Краснопресненская линия";"2024";"I квартал";"3685496";"3532231";"2664615959";
"Спартак";"Таганско-Краснопресненская линия";"2024";"I квартал";"623344";"611914";"2664615961";
"Щукинская";"Таганско-Краснопресненская линия";"2024";"I квартал";"3580409";"3560155";"2664615962";
"Октябрьское поле";"Таганско-Краснопресненская линия";"2024";"I квартал";"3344412";"3394600";"2664615963";
"Полежаевская";"Таганско-Краснопресненская линия";"2024";"I квартал";"2338962";"2382639";"2664615964";
"Беговая";"Таганско-Краснопресненская линия";"2024";"I квартал";"2814753";"2844068";"2664615965";
"Улица 1905 года";"Таганско-Краснопресненская линия";"2024";"I квартал";"3573733";"3707687";"2664615967";
"Баррикадная";"Таганско-Краснопресненская линия";"2024";"I квартал";"1903750";"1978093";"2664615969";
"Пушкинская";"Таганско-Краснопресненская линия";"2024";"I квартал";"3764842";"3930566";"2664615970";
"Кузнецкий мост";"Таганско-Краснопресненская линия";"2024";"I квартал";"1930642";"2042749";"2664615971";
"Таганская";"Таганско-Краснопресненская линия";"2024";"I квартал";"1168228";"1208956";"2664615972";
"Пролетарская";"Таганско-Краснопресненская линия";"2024";"I квартал";"2618635";"2653453";"2664615973";
"Волгоградский проспект";"Таганско-Краснопресненская линия";"2024";"I квартал";"1793115";"1819424";"2664615974";
"Текстильщики";"Таганско-Краснопресненская линия";"2024";"I квартал";"4249159";"4523448";"2664615975";
"Кузьминки";"Таганско-Краснопресненская линия";"2024";"I квартал";"4606070";"4590942";"2664615976";
"Рязанский проспект";"Таганско-Краснопресненская линия";"2024";"I квартал";"2464359";"2478712";"2664615977";
"Выхино";"Таганско-Краснопресненская линия";"2024";"I квартал";"5298999";"5106561";"2664615978";
"Лермонтовский проспект";"Таганско-Краснопресненская линия";"2024";"I квартал";"1586560";"1525961";"2664615979";
"Жулебино";"Таганско-Краснопресненская линия";"2024";"I квартал";"2181044";"2134725";"2664615981";
"Котельники";"Таганско-Краснопресненская линия";"2024";"I квартал";"4854271";"4410984";"2664615982";
"Пионерская";"Филёвская линия";"2024";"I квартал";"513455";"495199";"2664615983";
"Филёвский парк";"Филёвская линия";"2024";"I квартал";"787585";"764835";"2664615984";
"Багратионовская";"Филёвская линия";"2024";"I квартал";"1344300";"1347664";"2664615985";
"Фили";"Филёвская линия";"2024";"I квартал";"1567434";"1562102";"2664615986";
"Кутузовская";"Филёвская линия";"2024";"I квартал";"572498";"612254";"2664615987";
"Студенческая";"Филёвская линия";"2024";"I квартал";"535463";"537790";"2664615988";
"Смоленская";"Филёвская линия";"2024";"I квартал";"760127";"775043";"2664615989";
"Арбатская";"Филёвская линия";"2024";"I квартал";"525631";"505662";"2664615990";
"Александровский сад";"Филёвская линия";"2024";"I квартал";"1535014";"1550264";"2664615991";
"Петровский парк";"Большая кольцевая линия";"2024";"I квартал";"1598431";"1657464";"2664616002";
"Лефортово";"Большая кольцевая линия";"2024";"I квартал";"1071590";"1098992";"2664616006";
"Варшавская";"Большая кольцевая линия";"2024";"I квартал";"2521277";"2467296";"2664616009";
"Пыхтино";"Солнцевская линия";"2024";"I квартал";"812637";"761387";"2664616046";
"Аэропорт Внуково";"Солнцевская линия";"2024";"I квартал";"816380";"539087";"2664616047";
"Яхромская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1477505";"1444509";"2664616048";
"Лианозово";"Люблинско-Дмитровская линия";"2024";"I квартал";"1270059";"1218402";"2664616049";
"Физтех";"Люблинско-Дмитровская линия";"2024";"I квартал";"938667";"894675";"2664616050";
"Москва-Сити";"Филёвская линия";"2024";"I квартал";"540595";"553361";"2664616274";
"Деловой центр";"Филёвская линия";"2024";"I квартал";"1444951";"1430856";"2664619584";
"Кунцевская";"Арбатско-Покровская линия";"2024";"I квартал";"893545";"898931";"2664619602";
"Парк Победы";"Арбатско-Покровская линия";"2024";"I квартал";"1349625";"1332130";"2664619608";
"Смоленская";"Арбатско-Покровская линия";"2024";"I квартал";"2492439";"2586645";"2664619617";
"Арбатская";"Арбатско-Покровская линия";"2024";"I квартал";"2420200";"2534382";"2664619808";
