"StationName";"TransliterationStation";"DiameterName";"City";"District";"Area";"Tariff";"Platforms";"MaskStation";"TransferMCD";"TransferAeroExpress";"TransferMetroStation";"AeroexpressStation";"RailwayStation";"ExitTrainStations";"WorkingHours";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование станции МЦД";"Транслитерация наименования станции МЦД";"Наименование МЦД";"Населенный пункт";"Округ";"Район";"Тарифная зона";"Количество платформ";"Является начальной/конечной станцией МЦД";"Пересадка на другой маршрут МЦД";"Пересадка на Аэроэкспресс";"Пересадка на станцию метро и МЦК";"Станция Аэроэкспресс";"Станция радиального железнодорожного направления";"Выход к железнодорожному вокзалу";"График работы";"Статус объекта";"global_id";"geoData";"geodata_center";
"Марьина Роща";"Marina Roshcha";"МЦД-4";"город Москва";"Северо-Восточный административный округ";"район Марьина Роща";"Центральная";"1";"нет";"Курско-Рижский";"";"nested data";"[]";"{global_id=2577703365, value=Марьина Роща}";"";"nested data";"действует";"2616711070";"{coordinates=[37.618581, 55.800904], type=Point}";"";
"Площадь трёх вокзалов";"Ploschad treh vokzalov";"МЦД-4";"город Москва";"Центральный административный округ";"Красносельский район";"Центральная";"1";"нет";"Курско-Рижский";"";"nested data";"[]";"{global_id=1132155516, value=Площадь трёх вокзалов}";"Ленинградский";"nested data";"действует";"2616711959";"{coordinates=[37.651115, 55.776639], type=Point}";"";
"Курская";"Kurskaya";"МЦД-4";"город Москва";"Центральный административный округ";"Басманный район";"Центральная";"2";"нет";"Курско-Рижский";"";"nested data";"[]";"{global_id=1132155409, value=Курская}";"Курский";"nested data";"действует";"2616712938";"{coordinates=[37.662201, 55.757992], type=Point}";"";
"Серп и Молот";"Serp i Molot";"МЦД-4";"город Москва";"Центральный административный округ";"Таганский район";"Центральная";"1";"нет";"Курско-Рижский";"";"nested data";"[]";"{global_id=1132155453, value=Серп и Молот}";"";"nested data";"действует";"2616713724";"{coordinates=[37.682548, 55.748078], type=Point}";"";
"Нижегородская";"Nizhegorodskaya";"МЦД-4";"город Москва";"Юго-Восточный административный округ";"Нижегородский район";"Центральная";"3";"нет";"";"";"nested data";"[]";"{global_id=1132155557, value=Нижегородская}";"";"nested data";"действует";"2616714661";"{coordinates=[37.730275, 55.73332], type=Point}";"";
"Чухлинка";"CHuhlinka";"МЦД-4";"город Москва";"Юго-Восточный административный округ";"Рязанский район";"Центральная";"1";"нет";"Ленинградско-Казанский";"";"nested data";"[]";"{global_id=1132155455, value=Чухлинка}";"";"nested data";"действует";"2616715325";"{coordinates=[37.76354, 55.733508], type=Point}";"";
"Кусково";"Kuskovo";"МЦД-4";"город Москва";"Восточный административный округ";"район Новогиреево";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155456, value=Кусково}";"";"nested data";"действует";"2616716052";"{coordinates=[37.794612, 55.739539], type=Point}";"";
"Новогиреево";"Novogireevo";"МЦД-4";"город Москва";"Восточный административный округ";"район Новогиреево";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155457, value=Новогиреево}";"";"nested data";"действует";"2616716786";"{coordinates=[37.819047, 55.744429], type=Point}";"";
"Реутов";"Reutov";"МЦД-4";"городской округ Реутов";"";"";"Центральная";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2616718100";"{coordinates=[37.855833, 55.751609], type=Point}";"";
"Никольское";"Nikolskoe";"МЦД-4";"городской округ Балашиха";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2616718528";"{coordinates=[37.897155, 55.759567], type=Point}";"";
"Салтыковская";"Saltykovskaya";"МЦД-4";"городской округ Балашиха";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2616718909";"{coordinates=[37.921886, 55.757805], type=Point}";"";
"Кучино";"Kuchino";"МЦД-4";"городской округ Балашиха";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2616719277";"{coordinates=[37.955118, 55.7521], type=Point}";"";
"Ольгино";"Olgino";"МЦД-4";"городской округ Балашиха";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2616719704";"{coordinates=[37.980808, 55.751799], type=Point}";"";
"Железнодорожная";"ZHeleznodorozhnaya";"МЦД-4";"городской округ Балашиха";"";"";"Пригород";"4";"да";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2616720310";"{coordinates=[38.008458, 55.752293], type=Point}";"";
