"global_id";"stop_id";"stop_name";"StationName";"Street";"Direction";"Pavilion";"OperatingOrgName";"geoData";"geodata_center";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"geoData";"geodata_center";
"2583704819";"1593";"1-я Магистральная улица";"";"";"";"";"";"{coordinates=[37.51774323, 55.77193635], type=Point}";"{coordinates=[37.51774323, 55.77193635], type=Point}";
"2583704820";"1594";"4-я Магистральная улица";"";"";"";"";"";"{coordinates=[37.51588588, 55.76821694], type=Point}";"{coordinates=[37.51588588, 55.76821694], type=Point}";
"2583704821";"1598";"Шелепихинское шоссе";"";"";"";"";"";"{coordinates=[37.52241847, 55.76029218], type=Point}";"{coordinates=[37.52241847, 55.76029218], type=Point}";
"2583704822";"1599";"Улица Шеногина";"";"";"";"";"";"{coordinates=[37.51270233, 55.76492063], type=Point}";"{coordinates=[37.51270233, 55.76492063], type=Point}";
"2583704823";"1596";"1-й Магистральный проезд";"";"";"";"";"";"{coordinates=[37.52047184, 55.763989], type=Point}";"{coordinates=[37.52047184, 55.763989], type=Point}";
"2583704824";"1603";"Депо имени Баумана";"";"";"";"";"";"{coordinates=[37.6445311, 55.83083886], type=Point}";"{coordinates=[37.6445311, 55.83083886], type=Point}";
"2583704825";"1477";"1-й Новоподмосковный переулок";"";"";"";"";"";"{coordinates=[37.50405098, 55.81512274], type=Point}";"{coordinates=[37.50405098, 55.81512274], type=Point}";
"2583704826";"1604";"Киностудия имени Горького";"";"";"";"";"";"{coordinates=[37.63813028, 55.83313523], type=Point}";"{coordinates=[37.63813028, 55.83313523], type=Point}";
"2583704827";"1479";"МЦК Балтийская";"";"";"";"";"";"{coordinates=[37.49425063, 55.82273073], type=Point}";"{coordinates=[37.49425063, 55.82273073], type=Point}";
"2583704828";"1606";"Метро «Ботанический сад»";"";"";"";"";"";"{coordinates=[37.63665779, 55.84363611], type=Point}";"{coordinates=[37.63665779, 55.84363611], type=Point}";
"2583704829";"1480";"Метро «Войковская»";"";"";"";"";"";"{coordinates=[37.49616275, 55.82036658], type=Point}";"{coordinates=[37.49616275, 55.82036658], type=Point}";
"2583704830";"1607";"Берёзовая аллея";"";"";"";"";"";"{coordinates=[37.62510875, 55.84732912], type=Point}";"{coordinates=[37.62510875, 55.84732912], type=Point}";
"2583704831";"1481";"Мост Победы";"";"";"";"";"";"{coordinates=[37.49966276, 55.81573404], type=Point}";"{coordinates=[37.49966276, 55.81573404], type=Point}";
